Id,Label,io,iob,year,field,field2,type,polygon_field,color_field,polygon_io,color_io,color_io2,polygon
884,UN1999Res54126,UN,UNGA,1999,NonHR,,Res,,#c7c7c7,,#1f77b4,#1144a3,0
885,UN1999Res54129,UN,UNGA,1999,NonHR,,Res,,#c7c7c7,,#1f77b4,#1144a3,0
886,UN1999Res54130,UN,UNGA,1999,Civil,,Res,4,#1f77b4,,#1f77b4,#1144a3,0
887,UN1999Res54148,UN,UNGA,1999,Discrimination,Children,Res,6,#d62728,,#1f77b4,#1144a3,0
888,UN1999Res54149,UN,UNGA,1999,Discrimination,Children,Res,6,#d62728,,#1f77b4,#1144a3,0
889,UN1999Res54163,UN,UNGA,1999,Civil,,Res,4,#1f77b4,,#1f77b4,#1144a3,0
890,UN1999Res54175,UN,UNGA,1999,Community,Develop,Res,7,#8c564b,,#1f77b4,#1144a3,0
891,UN1999Res5493,UN,UNGA,1999,NonHR,,Res,,#c7c7c7,,#1f77b4,#1144a3,0
892,UN2000ChildP1,UN,UNGA,2000,Discrimination,Children,Prot,6,#d62728,,#1f77b4,#1144a3,0
893,UN2000ChildP2,UN,UNGA,2000,Discrimination,Children,Prot,6,#d62728,,#1f77b4,#1144a3,0
894,UN2000ConvTransOrgCrime,UN,UNGA,2000,NonHR,Crime,Conv,,#c7c7c7,,#1f77b4,#1144a3,0
895,UN2000GenComCCPR28,UN,CCPR,2000,Political,,GenCom,3,#e377c2,,#1f77b4,#2a2a24,3
896,UN2000GenComCESCR14,UN,CESCR,2000,EcoSoc,,GenCom,5,#ff7f0e,,#1f77b4,#88540e,3
897,UN2000GenRecCERD25,UN,CERD,2000,Discrimination,Race,GenRec,6,#d62728,,#1f77b4,#bcf8c3,3
898,UN2000GenRecCERD26,UN,CERD,2000,Discrimination,Race,GenRec,6,#d62728,,#1f77b4,#bcf8c3,3
899,UN2000GenRecCERD27,UN,CERD,2000,Discrimination,Race,GenRec,6,#d62728,,#1f77b4,#bcf8c3,3
900,UN2000HRC200085,UN,HRC,2000,NonHR,,Res,,#c7c7c7,,#1f77b4,#7edff1,0
901,UN2000HRCres39,UN,HRC,2000,Civil,,Res,4,#1f77b4,,#1f77b4,#7edff1,0
902,UN2000HRCres59,UN,HRC,2000,NonHR,,Res,,#c7c7c7,,#1f77b4,#7edff1,0
903,UN2000MillDec,UN,UNGA,2000,NonHR,NonHR-SustDev,Decl,,#c7c7c7,,#1f77b4,#1144a3,0
904,UN2000ProtFirearm,UN,UNGA,2000,NonHR,,Prot,,#c7c7c7,,#1f77b4,#1144a3,0
905,UN2000ProtTraffick,UN,UNGA,2000,Civil,Traffick,Prot,4,#1f77b4,,#1f77b4,#1144a3,0
906,UN2000Res54263,UN,UNGA,2000,Discrimination,Children,Res,6,#d62728,,#1f77b4,#1144a3,0
907,UN2000Res55196,UN,UNGA,2000,EcoSoc,,Res,5,#ff7f0e,,#1f77b4,#1144a3,0
908,UN2000Res5525,UN,UNGA,2000,NonHR,Crime,Res,,#c7c7c7,,#1f77b4,#1144a3,0
909,UN2000Res5559,UN,UNGA,2000,Civil,,Res,4,#1f77b4,,#1f77b4,#1144a3,0
910,UN2000Res5560,UN,UNGA,2000,Civil,,Res,4,#1f77b4,,#1f77b4,#1144a3,0
911,UN2000Res5562,UN,UNGA,2000,Civil,,Res,4,#1f77b4,,#1f77b4,#1144a3,0
912,UN2000Res5578,UN,UNGA,2000,Discrimination,Children,Res,6,#d62728,,#1f77b4,#1144a3,0
913,UN2000Res5579,UN,UNGA,2000,Discrimination,Children,Res,6,#d62728,,#1f77b4,#1144a3,0
914,UN2000Res5589,UN,UNGA,2000,Civil,PhysInt,Res,4,#1f77b4,,#1f77b4,#1144a3,0
915,UN2000ResTorture,UN,UNGA,2000,Civil,PhysInt,Res,4,#1f77b4,,#1f77b4,#1144a3,0
916,UN2000S232,UN,UNGA,2000,Discrimination,Women,Res,6,#d62728,,#1f77b4,#1144a3,0
917,UN2000S233,UN,UNGA,2000,Discrimination,Women,Res,6,#d62728,,#1f77b4,#1144a3,0
918,UN2000SmuggMigrants,UN,UNGA,2000,Civil,Traffick,Prot,4,#1f77b4,,#1f77b4,#1144a3,0
919,UN2001DeclComHIV,UN,UNGA,2001,Discrimination,Living,Decl,6,#d62728,,#1f77b4,#1144a3,0
920,UN2001GenComCCPR29,UN,CCPR,2001,Political,,GenCom,3,#e377c2,,#1f77b4,#2a2a24,3
921,UN2001GenComCRC1,UN,CRC,2001,EcoSoc,Edu,GenCom,5,#ff7f0e,,#1f77b4,#88540e,3
922,UN2001HRCres28,UN,HRC,2001,EcoSoc,,Res,5,#ff7f0e,,#1f77b4,#7edff1,0
923,UN2001HRCres75,UN,HRC,2001,Discrimination,Children,Res,6,#d62728,,#1f77b4,#7edff1,0
924,UN2001Res55255,UN,UNGA,2001,NonHR,,Res,,#c7c7c7,,#1f77b4,#1144a3,0
925,UN2001Res56119,UN,UNGA,2001,Civil,,Res,4,#1f77b4,,#1f77b4,#1144a3,0
926,UN2001Res56122,UN,UNGA,2001,Civil,,Res,4,#1f77b4,,#1f77b4,#1144a3,0
927,UN2001Res56138,UN,UNGA,2001,Discrimination,Children,Res,6,#d62728,,#1f77b4,#1144a3,0
928,UN2001Res56139,UN,UNGA,2001,Discrimination,Children,Res,6,#d62728,,#1f77b4,#1144a3,0
929,UN2001Res56161,UN,UNGA,2001,Civil,,Res,4,#1f77b4,,#1f77b4,#1144a3,0
930,UN2001Res56201,UN,UNGA,2001,NonHR,,Res,,#c7c7c7,,#1f77b4,#1144a3,0
931,UN2001Res56211,UN,UNGA,2001,NonHR,,Res,,#c7c7c7,,#1f77b4,#1144a3,0
932,UN2001ResS262,UN,UNGA,2001,NonHR,,Res,,#c7c7c7,,#1f77b4,#1144a3,0
933,UN2002BasPrincJustRes,UN,UNGA,2002,Civil,,Princ,4,#1f77b4,,#1f77b4,#1144a3,0
934,UN2002GenComCCPR30,UN,CCPR,2002,Institution,,GenCom,,#9467bd,,#1f77b4,#2a2a24,3
935,UN2002GenComCESCR15,UN,CESCR,2002,EcoSoc,,GenCom,5,#ff7f0e,,#1f77b4,#88540e,3
936,UN2002GenComCRC2,UN,CRC,2002,Discrimination,Children,GenCom,6,#d62728,,#1f77b4,#c332e9,3
937,UN2002GenRecCERD28,UN,CERD,2002,Discrimination,Race,GenRec,6,#d62728,,#1f77b4,#bcf8c3,3
938,UN2002GenRecCERD29,UN,CERD,2002,Discrimination,Race,GenRec,6,#d62728,,#1f77b4,#bcf8c3,3
939,UN2002HRC92,UN,HRC,2002,NonHR,,Res,,#c7c7c7,,#1f77b4,#7edff1,0
940,UN2002HRCres47,UN,HRC,2002,Civil,,Res,4,#1f77b4,,#1f77b4,#7edff1,0
941,UN2002IntPlanActAgeing,UN,WC,2002,General,Elderly,AP,,#2ca02c,,#1f77b4,#d62728,0
942,UN2002JohannPlanRes1,UN,UNGA,2002,NonHR,NonHR-SustDev,Res,,#c7c7c7,,#1f77b4,#1144a3,0
943,UN2002JohannPlanRes2,UN,COP,2002,NonHR,NonHR-Development,Res,,#c7c7c7,,#1f77b4,#109917,0
944,UN2002OHCHRRecPrincHRandTraffic,UN,OHCHR,2002,General,Traffick,Rec,,#2ca02c,,#1f77b4,,0
945,UN2002OPConvTorture,UN,UNGA,2002,Civil,PhysInt,OP,4,#1f77b4,,#1f77b4,#1144a3,0
946,UN2002Res56260,UN,UNGA,2002,NonHR,,Res,,#c7c7c7,,#1f77b4,#1144a3,0
947,UN2002Res56261,UN,UNGA,2002,Civil,,AP,4,#1f77b4,,#1f77b4,#1144a3,0
948,UN2002Res56266,UN,UNGA,2002,Discrimination,,Res,6,#d62728,,#1f77b4,#1144a3,0
949,UN2002Res5683,UN,UNGA,2002,NonHR,,Res,,#c7c7c7,,#1f77b4,#1144a3,0
950,UN2002Res57169,UN,UNGA,2002,NonHR,,Res,,#c7c7c7,,#1f77b4,#1144a3,0
951,UN2002Res57170,UN,UNGA,2002,Civil,,Res,4,#1f77b4,,#1f77b4,#1144a3,0
952,UN2002Res57171,UN,UNGA,2002,Civil,,Res,4,#1f77b4,,#1f77b4,#1144a3,0
953,UN2002Res57172,UN,UNGA,2002,Civil,,Res,4,#1f77b4,,#1f77b4,#1144a3,0
954,UN2002Res57189,UN,UNGA,2002,Discrimination,Children,Res,6,#d62728,,#1f77b4,#1144a3,0
955,UN2002Res57190,UN,UNGA,2002,Discrimination,Children,Res,6,#d62728,,#1f77b4,#1144a3,0
956,UN2002Res57244,UN,UNGA,2002,NonHR,,Res,,#c7c7c7,,#1f77b4,#1144a3,0
957,UN2002Res57270A,UN,UNGA,2002,EcoSoc,,Res,5,#ff7f0e,,#1f77b4,#1144a3,0
958,UN2002ResS272,UN,UNGA,2002,Discrimination,Children,Res,6,#d62728,,#1f77b4,#1144a3,0
959,UN2002SubCHRres20026,UN,SubCHR,2002,EcoSoc,Living,Res,5,#ff7f0e,,#1f77b4,,0
960,UN2003ConvCorrup,UN,UNGA,2003,NonHR,,Conv,,#c7c7c7,,#1f77b4,#1144a3,0
961,UN2003GenComCRC3,UN,CRC,2003,Discrimination,Children,GenCom,6,#d62728,,#1f77b4,#c332e9,3
962,UN2003GenComCRC4,UN,CRC,2003,Discrimination,Children,GenCom,6,#d62728,,#1f77b4,#c332e9,3
963,UN2003GenComCRC5,UN,CRC,2003,Discrimination,Children,GenCom,6,#d62728,,#1f77b4,#c332e9,3
964,UN2003HRCres43,UN,HRC,2003,NonHR,,Res,,#c7c7c7,,#1f77b4,#7edff1,0
965,UN2003HRCres71,UN,HRC,2003,Community,Enviro,Res,7,#8c564b,,#1f77b4,#7edff1,0
966,UN2003HRCres86,UN,HRC,2003,NonHR,,Res,,#c7c7c7,,#1f77b4,#7edff1,0
967,UN2003Res57270B,UN,UNGA,2003,EcoSoc,,Res,5,#ff7f0e,,#1f77b4,#1144a3,0
968,UN2003Res58137,UN,UNGA,2003,Political,Migrate,Res,3,#e377c2,,#1f77b4,#1144a3,0
969,UN2003Res58138,UN,UNGA,2003,Civil,,Res,4,#1f77b4,,#1f77b4,#1144a3,0
970,UN2003Res58139,UN,UNGA,2003,Civil,,Res,4,#1f77b4,,#1f77b4,#1144a3,0
971,UN2003Res58156,UN,UNGA,2003,Discrimination,Children,Res,6,#d62728,,#1f77b4,#1144a3,0
972,UN2003Res58157,UN,UNGA,2003,Discrimination,Children,Res,6,#d62728,,#1f77b4,#1144a3,0
